employee_id,department_id,tenure_days,absent_days,total_working_days,absenteeism_rate,attrition_risk,last_updated
162,7,3646,5,6,0.8333333333333334,MEDIUM,2026-06-10 19:21:08.144692
688,1,1327,5,6,0.8333333333333334,MEDIUM,2026-06-10 19:21:08.203385
600,15,1289,5,6,0.8333333333333334,MEDIUM,2026-06-10 19:21:08.192843
905,19,2058,5,6,0.8333333333333334,MEDIUM,2026-06-10 19:21:08.227752
749,15,1307,4,5,0.8,MEDIUM,2026-06-10 19:21:08.210822
227,14,1225,7,9,0.7777777777777778,MEDIUM,2026-06-10 19:21:08.152028
978,3,1214,9,12,0.75,MEDIUM,2026-06-10 19:21:08.235312
744,10,1535,3,4,0.75,MEDIUM,2026-06-10 19:21:08.210210
578,7,909,8,11,0.7272727272727273,MEDIUM,2026-06-10 19:21:08.190371
985,5,2479,5,7,0.7142857142857143,MEDIUM,2026-06-10 19:21:08.235954
873,9,3333,10,14,0.7142857142857143,MEDIUM,2026-06-10 19:21:08.224595
1028,18,1725,7,10,0.7,MEDIUM,2026-06-10 19:21:08.241363
605,15,965,7,10,0.7,MEDIUM,2026-06-10 19:21:08.193453
564,9,1141,7,10,0.7,MEDIUM,2026-06-10 19:21:08.188487
908,10,1967,8,12,0.6666666666666666,MEDIUM,2026-06-10 19:21:08.228214
778,20,698,8,12,0.6666666666666666,MEDIUM,2026-06-10 19:21:08.213290
234,18,1543,4,6,0.6666666666666666,MEDIUM,2026-06-10 19:21:08.152968
642,20,402,8,12,0.6666666666666666,MEDIUM,2026-06-10 19:21:08.197466
16,19,371,2,3,0.6666666666666666,MEDIUM,2026-06-10 19:21:08.127733
527,3,3609,4,6,0.6666666666666666,MEDIUM,2026-06-10 19:21:08.185080
412,3,158,4,6,0.6666666666666666,HIGH,2026-06-10 19:21:08.172616
663,15,681,4,6,0.6666666666666666,MEDIUM,2026-06-10 19:21:08.200287
935,7,3246,4,6,0.6666666666666666,MEDIUM,2026-06-10 19:21:08.231305
316,3,640,10,15,0.6666666666666666,MEDIUM,2026-06-10 19:21:08.162210
574,19,2274,8,12,0.6666666666666666,MEDIUM,2026-06-10 19:21:08.189756
3,20,465,2,3,0.6666666666666666,MEDIUM,2026-06-10 19:21:08.125791
323,12,365,8,12,0.6666666666666666,MEDIUM,2026-06-10 19:21:08.163146
213,2,1189,11,17,0.6470588235294118,MEDIUM,2026-06-10 19:21:08.150599
1023,7,2919,9,14,0.6428571428571429,MEDIUM,2026-06-10 19:21:08.240746
883,14,3296,7,11,0.6363636363636364,MEDIUM,2026-06-10 19:21:08.225529
53,8,960,7,11,0.6363636363636364,MEDIUM,2026-06-10 19:21:08.132038
867,12,1384,7,11,0.6363636363636364,MEDIUM,2026-06-10 19:21:08.223979
542,10,1760,7,11,0.6363636363636364,MEDIUM,2026-06-10 19:21:08.186482
683,9,3250,7,11,0.6363636363636364,MEDIUM,2026-06-10 19:21:08.202610
380,3,1588,5,8,0.625,MEDIUM,2026-06-10 19:21:08.169353
532,10,3569,5,8,0.625,MEDIUM,2026-06-10 19:21:08.185713
1093,14,2576,5,8,0.625,MEDIUM,2026-06-10 19:21:08.247881
914,5,3043,10,16,0.625,MEDIUM,2026-06-10 19:21:08.228986
557,11,432,8,13,0.6153846153846154,MEDIUM,2026-06-10 19:21:08.188174
54,11,1553,3,5,0.6,MEDIUM,2026-06-10 19:21:08.132205
116,4,2681,3,5,0.6,MEDIUM,2026-06-10 19:21:08.139377
710,14,1938,6,10,0.6,MEDIUM,2026-06-10 19:21:08.206360
23,15,2470,6,10,0.6,MEDIUM,2026-06-10 19:21:08.128571
